ItemSheet name,EmployeeCode,Name,Date,Value,WFHcount,Month,SLcount,DayofWeek
Apr 2022,Atq -406,Thanos Thakur,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -462,Jarvis Singh,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -411,Nevaeh Waller,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -438,Mekhi Singleton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -366,Peter Pandey,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -441,Loki Lal,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -436,Phoenix Brady,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -404,Ana Little,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -397,Grace Stone,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -335,Tori Shannon,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -443,Lyric Bartlett,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -419,Kaylah Schultz,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -467,Cason David,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -450,Miya Hampton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -405,Sofia Solis,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -440,Mckayla Parker,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -335,Madelynn Gray,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -343,Myla Klein,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -334,Boston Morse,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -446,April Ayers,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -419,Faith Hamilton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -393,Janelle Raymond,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -459,Iris Woodard,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -349,Trystan Ortega,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -438,Miles Fields,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -423,Rodrigo Price,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -370,Ella Roth,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -433,Jayce Fuentes,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -375,Hailee Fitzpatrick,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -475,Rey Novak,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -368,Macie Callahan,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -468,Xiomara Ruiz,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -348,Weston Horton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -435,Dean Mclaughlin,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -331,Jonah Hamilton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -426,Roman Colon,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -405,Chris Frye,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -475,London Kim,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -375,Kenley Marsh,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -456,Adriel Pace,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -385,Jase Ingram,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -484,Adyson Moyer,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -398,Salvatore Hendrix,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -412,Tucker Austin,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -472,Cristofer Bernard,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -396,Karma Reeves,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -467,Esperanza Irwin,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -428,Ciara Allison,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -432,Ryann Guerrero,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -421,Rylee Mullins,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -452,Ayanna Atkins,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -367,Briley Orr,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -393,Emma Freeman,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -403,Will Mahoney,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -414,Titus Andersen,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -418,Marquis Wyatt,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -408,Nick Orozco,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -373,Isiah Small,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -418,Hillary Kirk,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -376,Dominique Benjamin,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -453,Nehemiah Diaz,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -461,Josh Sharp,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -443,Andrew Cummings,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -387,Konner Henson,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -385,Finnegan Gilbert,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -455,Caylee Meadows,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -470,Jovani Pope,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -374,Kaley Fitzpatrick,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -369,Greta Horton,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -372,Miley Combs,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -437,Dallas Weeks,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -400,Chad Macias,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -458,Jessie Carrillo,11-04-22,P,0,Apr-22,0,Mon
Apr 2022,Atq -406,Thanos Thakur,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -462,Jarvis Singh,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -411,Nevaeh Waller,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -398,Bo Cordova,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -438,Mekhi Singleton,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -366,Peter Pandey,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -441,Loki Lal,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -436,Phoenix Brady,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -397,Grace Stone,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -335,Tori Shannon,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -443,Lyric Bartlett,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -419,Kaylah Schultz,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -467,Cason David,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -450,Miya Hampton,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -405,Sofia Solis,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -440,Mckayla Parker,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -335,Madelynn Gray,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -343,Myla Klein,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -334,Boston Morse,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -446,April Ayers,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -419,Faith Hamilton,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -393,Janelle Raymond,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -459,Iris Woodard,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -349,Trystan Ortega,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -438,Miles Fields,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -423,Rodrigo Price,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -433,Jayce Fuentes,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -375,Hailee Fitzpatrick,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -475,Rey Novak,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -368,Macie Callahan,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -468,Xiomara Ruiz,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -348,Weston Horton,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -435,Dean Mclaughlin,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -426,Roman Colon,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -405,Chris Frye,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -475,London Kim,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -375,Kenley Marsh,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -456,Adriel Pace,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -385,Jase Ingram,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -484,Adyson Moyer,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -398,Salvatore Hendrix,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -412,Tucker Austin,06-04-22,P,0,Apr-22,0,Wed
Apr 2022,Atq -472,Cristofer Bernard,06-04-22,P,0,Apr-22,0,Wed
